Geneid	Chr	Start	End	Strand	Length	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	S17	S17_S17	S18	S19	S20	S21	S22	S23	S24	S24_S24	S25	S25_S25	S26	S26_S26	S27	S28	S28_S28	S29_S29	S31_S31	S32_S32	S33_S33	gene_name
b2210	NC_000913.3	2305108	2306754	-	1647	2	5	9	6	14	7	6	11	11	9	8	12	12	7	5	1	4	5	3	22	33	17	4	3	0	11	36	12	12	1	10	16	14	38	7	1	13	mqo
b2211	NC_000913.3	2306972	2308615	-	1644	6	5	38	6	37	37	42	38	41	26	8	25	44	22	6	3	27	6	4	34	65	47	27	8	9	72	26	84	41	9	26	27	41	74	24	6	67	yojI
b2212	NC_000913.3	2308691	2309341	-	651	4	3	7	3	0	5	3	2	2	5	2	3	1	1	2	1	4	1	4	5	4	8	2	0	2	23	12	43	7	9	13	5	34	47	22	6	12	alkB
b2213	NC_000913.3	2309341	2310405	-	1065	9	11	14	11	13	20	14	13	17	13	7	13	19	12	13	20	13	21	9	10	18	11	11	12	10	94	25	182	29	48	35	47	149	210	90	19	55	ada
b2214	NC_000913.3	2310479	2311534	-	1056	9	2	18	9	16	11	13	9	16	4	2	6	11	12	6	3	4	2	1	18	15	21	5	2	1	17	17	11	21	3	19	34	10	84	9	2	20	ftp
b2215	NC_000913.3	2311646	2312749	-	1104	2634	1343	3976	3445	3703	1728	1367	2304	2063	697	490	4225	3027	3174	381	368	1433	258	1295	4702	3296	3751	928	414	421	3746	5862	4285	1105	681	768	764	960	1763	912	354	4576	ompC
b4439	NC_000913.3	2313084	2313176	+	93	1	1	1	1	3	0	0	1	1	1	2	0	1	0	0	1	0	0	2	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	micF
b2216	NC_000913.3	2313488	2316160	+	2673	118	186	194	144	221	308	384	464	490	343	159	192	170	221	110	133	189	20	53	191	220	188	166	110	66	265	396	329	341	39	337	368	271	564	280	73	423	rcsD
b2217	NC_000913.3	2316177	2316827	+	651	131	107	203	157	208	301	352	306	326	217	81	184	198	189	111	141	123	25	55	191	187	222	127	61	41	278	248	382	402	96	368	407	496	936	233	53	321	rcsB
b2218	NC_000913.3	2317027	2319876	-	2850	36	77	63	33	93	99	150	118	100	128	61	63	91	99	65	63	82	8	14	95	101	109	39	24	13	85	57	212	182	45	171	181	270	475	65	22	110	rcsC
b2219	NC_000913.3	2320043	2321869	+	1827	7	24	9	5	19	7	20	9	4	19	21	8	10	21	1	2	18	2	5	14	23	12	3	1	2	3	12	14	9	6	7	8	18	48	26	6	7	atoS
b2220	NC_000913.3	2321866	2323251	+	1386	3	4	0	2	6	2	3	5	3	4	2	3	3	2	5	5	4	5	0	6	3	12	2	2	1	6	9	5	6	3	12	2	11	53	12	3	6	atoC
b2221	NC_000913.3	2323447	2324109	+	663	0	1	1	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0	1	0	1	1	0	0	0	2	0	1	2	0	1	3	3	5	2	3	1	atoD
b2222	NC_000913.3	2324109	2324759	+	651	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	2	1	0	2	4	0	0	1	atoA
b2223	NC_000913.3	2324756	2326078	+	1323	2	0	0	1	1	3	1	2	2	1	2	1	0	0	0	0	0	0	0	2	3	1	0	1	1	2	0	5	1	2	1	2	2	1	2	0	2	atoE
b2224	NC_000913.3	2326109	2327293	+	1185	3	0	0	4	2	4	4	4	4	2	1	0	0	5	3	0	3	3	1	3	4	2	0	0	1	6	2	18	3	4	4	5	9	16	7	0	4	atoB
b2225	NC_000913.3	2327367	2328143	-	777	2	1	0	0	2	2	0	5	1	2	4	2	0	0	0	0	4	0	3	2	4	2	0	0	0	4	6	8	2	4	2	2	1	16	4	3	1	yfaP
b2226	NC_000913.3	2328148	2329797	-	1650	1	2	1	1	3	1	0	3	3	4	2	1	0	2	1	0	2	4	1	2	6	4	2	1	0	3	2	11	5	1	3	7	6	12	6	2	8	yfaQ
b4500	NC_000913.3	2329798	2334402	-	4605	6	4	10	5	13	22	29	39	21	11	13	13	7	8	8	12	10	6	5	8	12	7	10	4	0	21	20	35	21	9	15	31	35	89	16	8	41	yfaS
b2229	NC_000913.3	2334336	2334959	-	624	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	2	2	3	0	0	0	1	0	3	2	0	0	0	1	1	1	2	2	yfaT
b2230	NC_000913.3	2334956	2336644	-	1689	2	1	5	2	8	3	5	3	1	7	2	4	9	8	4	0	8	6	0	8	12	5	1	1	0	1	6	5	9	4	5	9	4	26	7	3	10	yfaA
b2231	NC_000913.3	2336793	2339420	-	2628	441	211	635	419	595	425	314	601	525	232	109	748	592	590	320	247	277	148	207	686	711	641	235	132	68	706	422	700	703	308	687	886	963	3093	516	152	1090	gyrA
b2232	NC_000913.3	2339567	2340289	+	723	52	40	45	38	58	79	77	104	65	33	18	53	57	53	91	73	42	2	15	67	64	63	58	25	17	135	93	120	251	39	188	242	279	378	79	37	217	ubiG
b2233	NC_000913.3	2340417	2344169	-	3753	30	17	25	14	25	30	35	32	31	23	12	32	23	23	21	14	16	11	16	30	42	24	18	8	8	34	39	49	68	23	64	78	72	237	89	15	60	yfaL
b4605	NC_000913.3	2344594	2344737	-	144	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	ypaB
b2234	NC_000913.3	2344865	2347150	+	2286	34	37	137	62	141	26	57	14	30	124	73	151	149	191	23	15	58	9	23	155	177	186	35	13	12	53	202	63	73	17	67	80	75	121	29	9	98	nrdA
b4779	NC_000913.3	2347350	2347385	-	36	1	0	1	0	2	0	4	1	0	1	1	2	2	1	0	0	0	0	0	1	3	0	0	0	0	2	6	2	3	1	1	4	11	23	0	1	4	yoaM
b2235	NC_000913.3	2347384	2348514	+	1131	20	15	48	29	43	10	19	19	13	17	14	73	55	64	24	16	13	4	17	72	54	65	19	10	6	31	92	44	47	5	30	45	60	145	21	5	43	nrdB
b2236	NC_000913.3	2348514	2348768	+	255	4	4	6	8	13	1	5	1	6	5	2	15	8	12	3	0	4	2	1	15	16	11	2	2	1	16	22	14	19	4	15	11	11	47	5	3	5	yfaE
b2237	NC_000913.3	2348822	2349472	-	651	7	24	17	18	32	19	18	20	9	27	26	27	26	35	12	18	29	19	8	29	32	30	10	13	8	46	57	117	43	49	42	55	81	76	120	27	54	inaA
b2238	NC_000913.3	2349687	2349893	+	207	0	1	1	0	1	0	2	2	1	1	1	2	1	3	0	1	0	0	0	1	2	0	0	1	0	1	3	2	1	0	3	2	1	0	11	0	0	yfaH
b2239	NC_000913.3	2349935	2351011	-	1077	10	23	12	14	18	17	17	16	5	18	14	15	20	21	6	6	13	8	8	21	19	23	10	10	3	77	18	243	19	70	23	20	40	79	73	16	42	glpQ
b2240	NC_000913.3	2351016	2352374	-	1359	3	2	4	5	3	3	4	0	1	1	1	3	6	7	0	1	1	0	4	8	11	13	3	1	0	4	2	18	3	4	10	8	17	45	10	6	24	glpT
b2241	NC_000913.3	2352647	2354275	+	1629	0	1	0	2	0	0	2	0	0	0	1	2	3	1	0	0	2	2	0	4	6	2	1	0	0	1	0	4	3	4	2	8	6	57	2	5	9	glpA
b2242	NC_000913.3	2354265	2355524	+	1260	0	2	0	1	0	1	1	3	0	0	1	2	0	0	1	0	0	1	0	1	3	0	0	0	0	1	1	0	1	0	3	3	0	28	5	1	10	glpB
b2243	NC_000913.3	2355521	2356711	+	1191	0	2	4	1	1	0	2	5	5	4	5	2	1	4	1	2	2	0	0	3	4	5	1	0	2	7	2	4	4	4	8	6	3	30	8	2	15	glpC
b2244	NC_000913.3	2356904	2357803	+	900	3	3	3	2	7	4	6	2	2	1	1	4	2	5	3	2	2	2	0	4	2	8	3	1	0	5	7	5	8	3	4	8	10	6	3	2	5	rpnE
b4543	NC_000913.3	2357816	2358001	+	186	7	2	6	2	2	2	2	2	1	0	0	6	4	4	2	2	3	1	1	8	3	4	1	1	3	4	4	10	6	2	8	5	19	19	3	4	18	ypaA
b2245	NC_000913.3	2358042	2358845	-	804	2	3	2	2	2	0	2	2	3	1	2	7	2	7	1	3	4	1	0	2	4	6	1	2	0	7	3	2	3	2	4	3	10	20	5	5	7	yfaU
b2246	NC_000913.3	2358863	2360152	-	1290	5	5	2	1	5	3	2	4	1	2	0	1	1	2	0	0	1	0	1	2	0	3	0	1	0	9	4	6	1	2	3	3	7	11	3	6	6	yfaV
b2247	NC_000913.3	2360209	2361414	-	1206	1	0	11	2	5	1	0	2	2	1	1	4	3	1	0	2	0	6	3	6	8	4	1	1	2	4	3	9	3	6	5	3	16	14	10	3	9	rhmD
b2248	NC_000913.3	2361429	2362211	-	783	1	1	1	1	2	1	0	2	4	1	0	2	3	1	0	1	1	2	1	1	0	2	0	0	0	4	3	5	2	1	2	3	5	6	0	0	3	yfaX
b2249	NC_000913.3	2362431	2363633	-	1203	27	18	41	29	52	50	31	32	35	34	19	36	23	28	18	20	29	20	17	40	29	25	22	20	7	112	39	127	31	42	28	33	126	120	107	20	84	yfaY
b2250	NC_000913.3	2363733	2364275	-	543	0	15	10	7	8	1	7	11	5	20	11	9	3	14	1	0	13	2	3	13	14	13	2	1	0	9	10	11	1	5	4	5	1	13	16	0	10	yfaZ
b2251	NC_000913.3	2364554	2364979	+	426	4	5	5	7	3	1	1	0	2	1	1	3	5	2	0	0	0	0	2	6	10	6	2	1	0	0	2	1	1	0	2	1	1	3	2	2	2	nudI
b2252	NC_000913.3	2365018	2365620	-	603	0	2	3	1	5	1	6	0	1	1	2	0	1	1	0	0	1	1	1	1	7	0	0	0	0	0	0	0	1	0	0	0	3	1	2	3	0	ais
b2253	NC_000913.3	2365910	2367067	+	1158	2	1	14	5	11	8	8	2	3	6	6	10	7	6	2	4	15	2	3	11	11	9	3	1	1	8	7	16	7	6	4	7	9	17	21	3	12	arnB
b2254	NC_000913.3	2367071	2368039	+	969	0	0	0	3	2	0	5	0	1	1	2	2	4	1	0	0	2	1	2	0	1	3	2	1	2	9	1	9	3	1	3	0	8	7	8	1	2	arnC
b2255	NC_000913.3	2368039	2370021	+	1983	8	16	10	9	19	52	39	32	28	21	6	5	12	22	12	21	13	5	6	21	21	28	14	12	7	25	36	40	67	3	48	65	43	102	31	8	31	arnA
b2256	NC_000913.3	2370018	2370908	+	891	1	4	2	2	4	8	11	16	11	2	4	7	5	8	3	6	3	3	2	7	9	8	5	5	2	8	14	11	24	2	18	16	15	52	10	1	22	arnD
b2257	NC_000913.3	2370908	2372560	+	1653	4	3	3	2	3	7	3	16	12	4	3	0	7	6	3	1	3	2	3	4	5	7	1	1	6	10	13	13	10	4	16	16	9	26	12	3	15	arnT
b4544	NC_000913.3	2372557	2372892	+	336	0	2	2	0	0	0	0	1	1	3	2	1	2	1	5	1	1	0	0	0	2	0	1	0	0	7	1	10	2	4	4	6	4	18	6	6	1	arnE
b2258	NC_000913.3	2372892	2373278	+	387	5	1	10	11	6	5	4	0	4	4	1	5	8	8	2	4	6	1	1	9	9	6	4	1	0	4	7	7	3	1	7	9	7	16	8	5	5	arnF
b2259	NC_000913.3	2373272	2373538	-	267	6	6	11	9	13	4	2	3	3	3	0	9	20	12	2	1	9	3	4	14	16	12	3	4	1	3	4	5	1	7	8	18	23	50	11	3	12	pmrD
b2260	NC_000913.3	2373648	2375003	-	1356	6	10	16	10	29	8	8	9	15	6	8	26	20	23	10	5	5	3	5	27	21	22	4	3	2	32	36	56	20	10	17	28	54	204	21	3	61	menE
b2261	NC_000913.3	2375000	2375962	-	963	15	10	25	18	27	12	13	13	16	9	7	36	32	25	20	12	9	5	7	30	34	31	5	2	6	72	40	134	20	10	22	39	139	284	22	11	98	menC
b2262	NC_000913.3	2375962	2376819	-	858	35	11	24	24	35	8	5	13	16	12	8	39	43	37	14	15	10	10	24	27	28	37	14	9	4	37	51	107	24	20	36	50	145	235	22	7	95	menB
b2263	NC_000913.3	2376834	2377592	-	759	4	3	5	4	10	9	5	5	5	1	2	11	6	4	8	2	3	0	1	10	6	17	3	0	0	15	31	12	7	2	20	13	21	79	0	4	18	menH
b2264	NC_000913.3	2377589	2379259	-	1671	26	15	17	22	35	34	20	34	38	6	7	39	32	24	19	21	16	4	16	45	45	38	5	5	5	42	110	75	45	7	67	107	72	465	21	6	38	menD
b2265	NC_000913.3	2379348	2380643	-	1296	44	52	38	25	56	67	31	37	54	80	35	43	56	57	39	54	61	49	37	43	55	44	29	13	13	126	31	206	116	174	87	93	245	289	238	55	123	menF
b2266	NC_000913.3	2380722	2381027	-	306	123	388	84	67	179	82	48	32	47	327	505	205	142	201	60	140	300	171	130	105	96	79	78	88	41	206	56	1015	205	450	164	133	502	219	931	148	284	elaB
b2267	NC_000913.3	2381082	2381543	-	462	9	10	12	10	11	11	7	6	13	12	11	12	14	14	13	6	14	6	5	14	8	16	10	5	4	8	29	13	31	4	30	44	26	40	19	6	18	elaA
b2268	NC_000913.3	2381608	2382525	+	918	5	2	13	12	11	5	12	6	6	10	5	4	26	15	4	5	11	7	8	10	24	18	2	2	4	9	13	22	14	12	10	9	13	40	16	5	10	rbn
b2269	NC_000913.3	2382713	2383924	+	1212	0	0	1	0	1	2	2	0	1	1	0	0	1	1	1	0	0	2	0	2	1	1	0	0	0	4	1	0	1	0	0	5	0	2	7	1	1	elaD
b2270	NC_000913.3	2383995	2385722	-	1728	2	6	2	0	3	0	5	3	4	3	4	1	3	1	2	0	3	1	2	7	5	4	0	3	2	15	6	19	2	6	4	12	11	9	29	6	11	yfbK
b2271	NC_000913.3	2385860	2386831	+	972	0	0	0	0	1	0	2	0	1	1	2	1	1	2	0	0	1	4	0	0	0	0	0	0	0	5	0	0	0	0	1	0	2	2	16	0	1	yfbL
b2272	NC_000913.3	2386934	2387437	+	504	0	2	1	0	1	3	0	0	0	0	0	0	2	1	0	0	1	0	0	2	3	2	0	0	0	0	2	1	1	1	0	0	0	2	12	3	2	yfbM
b2273	NC_000913.3	2387710	2388426	-	717	0	0	0	0	0	1	0	0	1	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	2	0	0	yfbN
b2274	NC_000913.3	2388635	2389057	+	423	0	0	3	0	1	0	0	2	0	3	0	0	3	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	2	0	0	yfbO
b2275	NC_000913.3	2389116	2389964	+	849	0	1	2	2	0	4	2	3	4	3	6	1	0	7	1	1	3	5	0	6	5	2	0	1	1	7	4	9	7	1	8	7	4	24	15	1	6	yfbP
b2276	NC_000913.3	2390048	2391505	-	1458	83	61	141	127	185	170	141	545	273	16	22	150	98	153	90	73	42	13	47	191	150	160	31	9	5	1599	179	2501	102	67	141	183	525	2186	37	50	665	nuoN
b2277	NC_000913.3	2391512	2393041	-	1530	65	50	164	140	158	92	70	240	208	18	11	145	117	147	84	60	38	8	46	191	118	152	25	17	11	576	167	1226	123	26	146	174	405	1504	26	27	468	nuoM
b2278	NC_000913.3	2393205	2395046	-	1842	95	71	246	214	247	165	113	364	275	27	21	198	187	248	146	93	80	21	68	322	223	220	58	13	12	1366	273	2526	152	69	223	237	815	3618	52	62	946	nuoL
b2279	NC_000913.3	2395043	2395345	-	303	20	5	36	27	35	18	9	35	36	2	1	29	30	27	11	13	2	3	6	34	23	31	5	1	4	119	33	223	15	11	28	22	63	226	11	5	70	nuoK
b2280	NC_000913.3	2395342	2395896	-	555	32	22	69	52	68	37	34	53	60	5	8	54	48	52	35	16	14	6	24	75	56	55	13	5	4	358	49	681	52	32	43	81	282	931	30	25	246	nuoJ
b2281	NC_000913.3	2395908	2396450	-	543	34	21	95	56	81	35	32	88	74	14	8	85	67	82	40	34	31	4	18	89	68	84	14	6	5	238	81	481	62	18	66	93	180	582	24	25	134	nuoI
b2282	NC_000913.3	2396465	2397442	-	978	66	41	127	90	136	91	65	124	138	23	15	150	92	127	85	46	33	27	47	139	132	131	28	12	9	634	142	956	102	40	115	158	498	1396	36	27	383	nuoH
b2283	NC_000913.3	2397439	2400165	-	2727	214	138	412	337	432	225	160	305	415	64	46	414	376	417	264	160	121	38	144	495	348	421	104	35	23	1458	438	2537	331	175	368	405	1473	3908	131	94	1022	nuoG
b2284	NC_000913.3	2400218	2401555	-	1338	140	54	229	177	226	138	87	160	157	34	13	281	205	238	125	80	92	12	65	214	216	249	66	23	19	691	259	993	124	58	183	181	662	1236	92	49	569	nuoF
b2285	NC_000913.3	2401552	2402052	-	501	60	27	80	68	89	56	34	42	64	18	5	115	76	101	56	38	47	4	29	124	93	100	30	13	12	127	108	225	73	22	77	101	169	323	38	14	165	nuoE
b2286	NC_000913.3	2402055	2403845	-	1791	193	118	344	299	352	247	139	206	300	59	39	404	369	432	223	184	152	18	139	449	380	384	131	45	45	522	374	876	304	79	360	390	782	1198	118	26	592	nuoC
b2287	NC_000913.3	2403951	2404613	-	663	93	75	191	163	210	161	82	132	143	45	18	202	222	199	108	97	87	16	80	225	228	207	85	45	22	362	230	532	203	70	203	246	472	883	114	25	411	nuoB
b2288	NC_000913.3	2404629	2405072	-	444	99	53	130	137	162	90	61	81	89	39	19	152	184	151	90	90	67	32	60	201	175	155	61	15	20	230	175	369	202	92	232	245	414	725	160	62	291	nuoA
b2289	NC_000913.3	2405703	2406641	-	939	55	56	91	86	120	46	42	155	66	40	65	82	85	84	35	34	42	7	19	29	53	38	15	15	5	50	25	148	78	22	89	129	118	491	79	16	20	lrhA
b2290	NC_000913.3	2407561	2408778	+	1218	29	23	48	31	50	38	39	42	37	47	16	28	48	52	29	26	36	2	20	30	46	34	14	10	4	32	49	58	56	12	58	58	94	168	27	6	34	alaA
b2291	NC_000913.3	2408862	2409461	+	600	14	10	16	11	16	6	15	10	11	6	6	14	12	21	6	10	11	7	4	13	20	21	7	5	4	17	24	23	22	11	17	34	49	115	25	5	26	yfbR
b2292	NC_000913.3	2409520	2411352	-	1833	26	20	60	70	70	37	31	26	38	17	11	69	73	75	18	12	24	5	21	117	135	97	24	12	7	45	174	60	69	25	177	271	63	1308	26	1	54	yfbS
b2293	NC_000913.3	2411439	2412089	-	651	31	23	37	36	36	47	17	69	25	15	15	34	39	37	28	23	15	9	26	38	30	26	8	2	6	124	28	292	37	26	49	57	91	227	53	19	56	hxpA
b2294	NC_000913.3	2412100	2412594	-	495	26	18	37	30	35	22	31	25	23	23	7	32	31	24	31	17	14	11	15	31	27	38	23	8	2	44	29	122	64	35	54	90	91	163	86	10	51	yfbU
b2295	NC_000913.3	2412677	2413132	-	456	56	87	61	54	63	127	92	121	76	77	71	53	60	62	115	107	83	40	53	83	80	68	55	24	15	326	66	586	221	253	149	211	325	457	986	80	111	yfbV
b2296	NC_000913.3	2413470	2414672	+	1203	134	116	156	103	171	113	91	109	127	130	132	144	174	189	98	106	167	88	107	207	208	170	72	45	28	334	455	891	213	432	207	297	519	1323	560	141	202	ackA
b2297	NC_000913.3	2414747	2416891	+	2145	116	71	114	119	121	96	92	128	115	64	27	140	182	152	110	90	87	45	73	176	215	149	78	55	30	673	446	1106	162	184	220	276	919	1673	325	104	295	pta
b2298	NC_000913.3	2417081	2418601	+	1521	2	2	2	2	4	4	2	12	10	6	0	2	4	4	3	4	3	0	0	10	6	4	3	3	0	8	9	16	8	2	16	10	6	69	7	4	14	yfcC
b2299	NC_000913.3	2418634	2419176	-	543	6	15	20	20	17	18	9	16	23	18	10	29	31	30	10	12	31	7	11	34	31	33	9	5	6	27	15	61	30	17	30	33	65	78	28	4	16	yfcD
b2300	NC_000913.3	2419234	2419788	-	555	13	17	25	23	27	12	16	16	10	32	19	18	35	23	6	19	16	8	9	25	32	28	10	8	5	47	29	72	38	15	34	35	107	127	48	11	63	yfcE
b2301	NC_000913.3	2419841	2420485	-	645	13	18	14	9	23	16	11	12	12	11	12	14	10	27	5	12	12	16	10	13	11	23	10	6	5	20	8	35	16	32	16	16	56	45	55	12	10	yfcF
b2302	NC_000913.3	2420621	2421268	+	648	5	20	7	3	10	7	5	4	4	25	18	8	12	10	5	14	22	6	10	7	12	7	2	5	2	27	11	97	22	53	15	14	85	50	111	17	15	yfcG
b2303	NC_000913.3	2421325	2421687	+	363	15	14	13	15	19	11	15	15	8	22	17	15	27	19	15	12	8	4	13	19	21	18	3	5	5	11	8	43	30	9	29	18	38	41	36	2	18	folX
b2304	NC_000913.3	2421708	2422601	+	894	34	29	44	25	52	20	36	28	22	49	35	42	42	53	18	46	48	15	26	71	67	59	22	14	11	86	43	219	69	110	49	58	247	405	122	39	111	yfcH
b2305	NC_000913.3	2422649	2423539	-	891	2	3	6	3	12	4	4	3	3	5	4	3	4	8	6	3	10	3	2	8	9	5	1	1	1	2	4	14	7	1	6	6	12	40	26	1	12	rpnB
b2306	NC_000913.3	2423736	2424509	-	774	8	7	14	18	10	16	7	11	3	3	3	11	8	14	8	5	8	3	5	15	13	11	6	5	0	18	4	29	9	4	9	7	81	66	16	2	26	hisP
b2307	NC_000913.3	2424517	2425233	-	717	5	10	14	10	13	9	3	8	4	5	2	6	4	10	3	3	8	2	7	13	7	8	2	0	1	8	2	25	13	9	9	13	62	43	8	4	5	hisM
b2308	NC_000913.3	2425230	2425916	-	687	11	7	21	12	35	8	5	6	10	16	10	23	7	19	10	11	17	2	16	26	18	11	4	1	0	28	1	17	11	6	14	22	113	79	38	8	23	hisQ
b2309	NC_000913.3	2426006	2426788	-	783	51	47	89	76	71	37	25	28	32	45	21	64	47	76	33	45	62	11	55	70	56	60	9	14	6	54	17	130	42	34	38	40	312	194	213	28	48	hisJ
b2310	NC_000913.3	2427009	2427791	-	783	123	85	159	150	156	36	32	39	43	129	87	131	70	123	60	60	159	26	87	93	71	87	23	20	8	44	18	125	41	82	38	42	304	33	89	27	58	argT
b2311	NC_000913.3	2428057	2428626	-	570	6	9	10	4	21	11	14	12	12	19	6	18	23	21	12	3	15	4	6	22	14	21	3	10	4	19	6	13	21	11	9	16	35	33	27	4	32	ubiX
b2312	NC_000913.3	2428721	2430238	-	1518	54	18	64	47	37	29	22	24	31	29	16	50	152	50	15	21	24	16	19	88	146	58	17	15	15	68	29	116	49	43	35	55	97	128	58	17	55	purF
b2313	NC_000913.3	2430275	2430763	-	489	32	11	46	33	23	12	10	13	11	14	7	31	96	42	7	6	15	7	10	74	122	61	10	7	3	50	16	44	21	20	16	32	59	126	29	14	70	cvpA
b2314	NC_000913.3	2431022	2431684	-	663	42	25	50	39	55	59	46	38	55	29	25	42	44	39	24	27	38	26	20	35	43	40	14	16	8	130	36	250	47	50	45	49	157	228	80	16	113	dedD
b2315	NC_000913.3	2431674	2432942	-	1269	21	19	29	27	30	21	32	33	22	21	21	39	41	41	11	13	20	20	14	37	40	53	9	12	10	84	12	174	29	55	18	41	104	109	64	25	60	folC
b2316	NC_000913.3	2433012	2433926	-	915	119	100	188	154	241	113	148	139	127	175	71	212	226	225	54	61	123	54	77	268	307	293	55	29	24	293	142	437	133	62	130	140	233	607	93	16	338	accD
b2317	NC_000913.3	2434082	2434741	-	660	43	105	95	72	134	43	131	53	56	176	156	90	103	113	27	26	67	8	32	100	115	106	26	26	16	84	52	182	29	17	44	56	89	136	41	11	75	dedA
b2318	NC_000913.3	2434824	2435636	-	813	123	292	155	91	239	87	177	89	57	367	361	176	172	281	33	57	189	22	40	188	178	171	55	41	17	136	68	278	52	47	57	50	130	187	63	24	98	truA
b2319	NC_000913.3	2435636	2436649	-	1014	37	21	49	29	55	21	14	17	24	21	11	57	39	40	22	14	29	7	22	61	72	57	12	10	1	32	22	60	38	18	27	44	82	96	37	4	44	usg
b2320	NC_000913.3	2436715	2437851	-	1137	67	57	76	61	82	34	30	43	27	54	25	96	79	92	45	35	56	33	25	72	75	58	24	13	9	82	23	132	71	72	56	73	184	242	103	26	84	pdxB
b2321	NC_000913.3	2437950	2438945	+	996	12	12	15	11	25	12	24	11	13	19	15	11	17	29	2	6	8	10	4	28	41	26	6	3	4	6	16	14	15	8	13	11	13	26	15	5	25	flk
b2322	NC_000913.3	2438942	2440120	-	1179	7	2	11	3	7	14	15	8	6	5	1	1	10	6	8	5	3	1	7	5	12	6	2	3	4	35	7	8	14	4	12	8	12	47	9	2	39	yfcJ
b2323	NC_000913.3	2440385	2441605	-	1221	889	357	725	587	804	854	549	1020	734	559	194	1265	902	1070	390	395	719	143	548	1366	1069	1334	630	308	142	1348	700	1474	751	443	680	916	1352	2085	811	204	1314	fabB
b2324	NC_000913.3	2441764	2443770	+	2007	20	13	26	25	29	54	54	49	83	29	11	35	45	37	77	75	18	3	13	46	57	45	36	23	20	70	109	88	169	21	133	186	243	484	57	13	126	mnmC
b2325	NC_000913.3	2443891	2444169	-	279	9	9	20	11	16	11	23	9	2	9	18	11	13	23	16	5	11	2	1	22	20	15	5	5	4	10	10	11	14	3	22	17	28	89	16	3	22	yfcL
b2326	NC_000913.3	2444203	2444751	-	549	15	45	28	18	35	11	35	19	16	47	22	29	32	48	7	8	16	1	10	32	37	31	6	5	2	4	21	10	14	4	21	26	11	56	51	2	31	epmC
b2327	NC_000913.3	2444751	2445560	-	810	13	7	18	11	9	12	16	18	17	12	4	16	7	17	7	9	4	2	4	20	25	19	9	3	1	23	20	14	22	6	15	22	36	108	28	9	24	yfcA
b2328	NC_000913.3	2445560	2446384	-	825	13	3	23	17	23	18	7	21	23	10	1	31	26	23	11	11	15	0	15	44	41	36	19	3	6	25	23	19	28	5	20	37	72	137	16	5	38	mepA
b2329	NC_000913.3	2446388	2447473	-	1086	34	14	57	44	51	51	36	45	42	24	6	68	43	54	33	29	34	2	27	88	64	76	19	15	16	68	45	42	47	24	35	65	136	298	36	4	87	aroC
b2330	NC_000913.3	2447508	2448440	-	933	27	10	37	22	41	17	10	14	21	23	8	40	65	57	21	16	21	2	10	70	69	72	7	9	8	14	32	24	55	11	49	65	55	203	41	15	56	prmB
b2331	NC_000913.3	2448606	2449157	+	552	11	8	28	26	28	28	21	32	33	12	11	32	30	15	19	29	18	5	8	27	27	26	18	5	5	52	41	48	86	7	87	110	114	238	82	2	42	smrB
b2332	NC_000913.3	2449228	2450049	-	822	19	16	17	23	24	67	41	82	51	7	15	14	29	31	17	22	27	2	7	31	37	29	17	10	3	47	56	95	89	11	87	95	68	167	122	7	28	yfcO
b2333	NC_000913.3	2450051	2450590	-	540	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	3	0	0	1	0	0	0	1	0	1	3	1	0	3	2	4	0	2	0	2	yfcP
b2334	NC_000913.3	2450587	2451075	-	489	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	3	1	5	1	1	yfcQ
b2335	NC_000913.3	2451072	2451584	-	513	0	1	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	1	0	2	5	3	0	1	yfcR
b2336	NC_000913.3	2451584	2452336	-	753	0	1	0	0	0	1	2	0	0	0	1	1	0	0	1	0	0	0	0	2	3	0	0	0	0	3	0	1	2	1	2	1	0	2	7	1	0	yfcS
b4661	NC_000913.3	2452356	2455001	-	2646	9	9	6	6	11	7	4	7	11	5	11	1	9	12	5	6	9	8	2	13	18	11	5	2	5	13	14	19	26	12	15	21	21	92	68	16	27	yfcU
b2339	NC_000913.3	2455083	2455646	-	564	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	4	0	0	1	1	1	0	0	1	144	1	0	yfcV
